mp_year,mp_month,mp_price
2008,1,272.3484848484849
2008,2,257.04545454545456
2008,3,272.5
2008,4,282.15909090909093
2008,5,284.0151515151515
2008,6,289.59090909090907
2008,7,332.9444424242424
2008,8,365.75757575757575
2008,9,376.30833333333334
2008,10,366.5740740740741
2008,11,343.5416666666667
2008,12,303.69444333333337
2009,1,251.55833333333334
2009,2,246.39166666666668
2009,3,233.06666666666666
2009,4,234.34722333333332
2009,5,219.69758387096775
2009,6,226.30491333333333
2009,7,238.4709129032258
2009,8,263.90505806451614
2009,9,316.1144612903226
2009,10,338.767735483871
2009,11,384.9652419354839
2009,12,380.47285161290324
2010,1,261.994378125
2010,2,250.1491935483871
2010,3,253.14059032258064
2010,4,257.75269032258063
2010,5,256.13306774193546
2010,6,261.6301129032258
2010,7,276.4204475
2010,8,291.071158974359
2010,9,326.5759615384615
2010,10,325.7486548387097
2010,11,321.24465609756095
2010,12,305.97645
2011,1,277.21753095238097
2011,2,261.66295
2011,3,274.7715595238095
2011,4,299.60628333333335
2011,5,334.48893571428573
2011,6,310.5525595238095
2011,7,308.92110952380955
2011,8,322.8189785714286
2011,9,324.0659476190476
2011,10,313.79761904761904
2011,11,310.1578404761905
2011,12,299.8256979591837
2012,1,258.75219803921567
2012,2,266.607885106383
2012,3,291.8375108695652
2012,4,331.359181632653
2012,5,341.60871698113203
2012,6,333.9885310344828
2012,7,321.66176481481483
2012,8,329.1014944444444
2012,9,341.55
2012,10,355.7674418604651
2012,11,353.3840087719298
2012,12,343.82914074074074
2013,1,290.7835666666667
2013,2,299.462962962963
2013,3,326.7149034482759
2013,4,357.70302982456144
2013,5,371.07193703703706
2013,6,388.87681896551726
2013,7,376.13510344827586
2013,8,388.576805
2013,9,479.0623852459016
2013,10,530.0429868852459
2013,11,525.8136819672131
2013,12,432.92984590163934
2014,1,348.4151819672131
2014,2,372.7066842105263
2014,3,393.7192964912281
2014,4,399.10986034482755
2014,5,382.11899464285716
2014,6,407.4985052631579
2014,7,409.9007403508772
2014,8,412.6079105263158
2014,9,418.8721627118644
2014,10,396.1288
2014,11,364.6226508196721
2014,12,340.8223982142857
2015,1,315.93182631578946
2015,2,315.7232228070175
2015,3,340.0629175438596
2015,4,386.87927704918036
2015,5,420.12016557377046
2015,6,395.4307524590164
2015,7,380.8583327868852
2015,8,388.8568049180328
2015,9,405.96597540983606
2015,10,418.10695535714285
2015,11,448.04296140350874
2015,12,466.65565535714285
