mp_year,mp_month,mp_price
2008,1,176.17424242424244
2008,2,157.4609375
2008,3,145.8203125
2008,4,160.8984375
2008,5,158.04032258064515
2008,6,174.453125
2008,7,190.67708125000001
2008,8,200.703125
2008,9,224.21428571428572
2008,10,251.2037037037037
2008,11,257.0689655172414
2008,12,250.1821
2009,1,223.39285714285714
2009,2,217.24137931034483
2009,3,204.10714285714286
2009,4,209.98511785714285
2009,5,212.47126896551725
2009,6,218.40178571428572
2009,7,211.7683931034483
2009,8,216.76293103448276
2009,9,235.06209354838708
2009,10,269.3623551724138
2009,11,290.5817925925926
2009,12,294.127975
2010,1,259.44085806451614
2010,2,203.21120344827585
2010,3,181.77758620689656
2010,4,170.54166666666666
2010,5,168.60753548387098
2010,6,148.36350344827588
2010,7,146.69789736842105
2010,8,148.65427499999998
2010,9,156.27914210526316
2010,10,176.2983870967742
2010,11,199.49451463414633
2010,12,183.9525051282051
2011,1,199.94108421052633
2011,2,178.32728684210525
2011,3,175.40218292682925
2011,4,196.18183095238095
2011,5,210.1647891891892
2011,6,244.10557894736843
2011,7,267.2294078947369
2011,8,225.05447894736844
2011,9,226.33408684210525
2011,10,236.13354594594594
2011,11,243.2716763157895
2011,12,258.5639636363636
2012,1,258.2600574468085
2012,2,225.13981162790697
2012,3,202.13533409090908
2012,4,220.97938085106384
2012,5,239.35229787234044
2012,6,262.3816037735849
2012,7,270.592976
2012,8,263.6606980392157
2012,9,272.7894736842105
2012,10,278.9024390243902
2012,11,273.0179962264151
2012,12,287.12964489795917
2013,1,301.4405804347826
2013,2,259.6923076923077
2013,3,231.8353909090909
2013,4,235.1436381818182
2013,5,233.10464800000003
2013,6,230.9199327272727
2013,7,224.3792433962264
2013,8,223.0595472727273
2013,9,250.91836
2013,10,299.32967719298244
2013,11,320.72426545454545
2013,12,335.98660816326526
2014,1,299.82126000000005
2014,2,253.88405094339623
2014,3,217.81016603773585
2014,4,211.02429019607843
2014,5,221.50940192307692
2014,6,236.14803962264153
2014,7,242.29392962962962
2014,8,243.39657884615386
2014,9,254.77916909090908
2014,10,258.596603125
2014,11,256.1405679245283
2014,12,250.51546862745099
2015,1,222.0264826923077
2015,2,189.40697647058826
2015,3,184.14583846153846
2015,4,208.5849296296296
2015,5,213.33620545454545
2015,6,219.0220642857143
2015,7,230.46299285714284
2015,8,239.77942592592592
2015,9,251.10709818181817
2015,10,248.51955714285714
2015,11,276.9368020408163
2015,12,298.8762395833333
