mp_year,mp_month,mp_price
2008,1,97.0
2008,2,98.52272727272727
2008,3,97.8409090909091
2008,4,101.09848484848484
2008,5,98.61363636363636
2008,6,109.0909090909091
2008,7,118.24243333333334
2008,8,125.11363636363636
2008,9,132.91666666666666
2008,10,131.64814814814815
2008,11,126.10416666666667
2008,12,114.74444333333334
2009,1,120.375
2009,2,124.25
2009,3,129.16666666666666
2009,4,131.21944333333334
2009,5,131.3548387096774
2009,6,124.28472000000001
2009,7,126.1354806451613
2009,8,146.32930000000002
2009,9,176.28522258064518
2009,10,170.6198935483871
2009,11,148.90483548387095
2009,12,111.67473225806451
2010,1,108.7265625
2010,2,114.24058709677419
2010,3,125.73333548387097
2010,4,129.57392580645163
2010,5,134.7432741935484
2010,6,139.62607741935486
2010,7,140.22013846153845
2010,8,156.15861794871793
2010,9,183.81879210526316
2010,10,164.90942173913044
2010,11,153.19604736842106
2010,12,117.75421190476192
2011,1,108.22804761904763
2011,2,110.70810714285714
2011,3,119.7114380952381
2011,4,144.38943095238096
2011,5,144.52988333333334
2011,6,143.6570119047619
2011,7,137.11666666666665
2011,8,140.21399285714284
2011,9,139.0807357142857
2011,10,145.76251904761907
2011,11,133.9480904761905
2011,12,141.34497346938775
2012,1,151.84952352941178
2012,2,171.07965957446808
2012,3,188.77011739130435
2012,4,184.90019591836733
2012,5,183.04400377358493
2012,6,161.90684827586207
2012,7,177.5251074074074
2012,8,198.02346666666668
2012,9,223.175
2012,10,214.16666666666666
2012,11,170.9378157894737
2012,12,144.2007037037037
2013,1,156.10126078431372
2013,2,157.1320754716981
2013,3,172.1082210526316
2013,4,183.1904403508772
2013,5,180.1338716981132
2013,6,200.3502245614035
2013,7,209.11997719298245
2013,8,233.07375344827588
2013,9,245.46842372881358
2013,10,235.40023559322034
2013,11,174.39085500000002
2013,12,138.6705737704918
2014,1,137.98414918032788
2014,2,160.31584736842106
2014,3,188.66734561403507
2014,4,197.2893754385965
2014,5,187.8863589285714
2014,6,190.71303157894735
2014,7,181.32434385964913
2014,8,188.8463017857143
2014,9,197.9779254237288
2014,10,183.84359444444442
2014,11,143.67183606557376
2014,12,131.59355357142857
2015,1,139.30230175438598
2015,2,158.76985714285712
2015,3,179.43794821428574
2015,4,185.43599333333336
2015,5,179.71824
2015,6,168.17693278688526
2015,7,179.6560655737705
2015,8,206.16529833333334
2015,9,218.25415333333333
2015,10,217.41501636363637
2015,11,210.15316785714285
2015,12,184.2425982142857
